Year,VALUE,CommodityName,CommodityCode,IsMainCommodity,ParentCommodity
2015,100.0,All-items HICP,00,1,00
2015,100.0,Food and non-alcoholic beverages,01,1,00
2015,100.0,Food,01.1,0,01
2015,100.0,Bread and cereals,01.1.1,0,01
2015,100.0,Meat,01.1.2,0,01
2015,100.0,Fish and seafood,01.1.3,0,01
2015,100.0,"Milk, cheese and eggs",01.1.4,0,01
2015,100.0,Oils and fats,01.1.5,0,01
2015,100.0,Fruit,01.1.6,0,01
2015,100.0,Vegetables,01.1.7,0,01
2015,100.0,"Sugar, jam, honey, chocolate and confectionery",01.1.8,0,01
2015,100.0,Food products n.e.c.,01.1.9,0,01
2015,100.0,Non-alcoholic beverages,01.2,0,01
2015,100.0,"Coffee, tea and cocoa",01.2.1,0,01
2015,100.0,"Mineral waters, soft drinks, fruit and vegetable juices",01.2.2,0,01
2015,100.0,"Alcoholic beverages, tobacco and narcotics",02,1,00
2015,100.0,Alcoholic beverages,02.1,0,02
2015,100.0,Spirits,02.1.1,0,02
2015,100.0,Wine,02.1.2,0,02
2015,100.0,Beer,02.1.3,0,02
2015,100.0,Tobacco,02.2,0,02
2015,100.0,Clothing and footwear,03,1,00
2015,100.0,Clothing,03.1,0,03
2015,100.0,Garments,03.1.2,0,03
2015,100.0,Other articles of clothing and clothing accessories,03.1.3,0,03
2015,100.0,"Cleaning, repair and hire of clothing",03.1.4,0,03
2015,100.0,Footwear,03.2,0,03
2015,100.0,"Housing, water, electricity, gas and other fuels",04,1,00
2015,100.0,Actual rentals for housing,04.1,0,04
2015,100.0,Maintenance and repair of the dwelling,04.3,0,04
2015,100.0,Materials for the maintenance and repair of the dwelling,04.3.1,0,04
2015,100.0,Services for the maintenance and repair of the dwelling,04.3.2,0,04
2015,100.0,Water supply and miscellaneous services relating to the dwelling,04.4,0,04
2015,100.0,Water supply,04.4.1,0,04
2015,100.0,Refuse collection,04.4.2,0,04
2015,100.0,Sewerage collection,04.4.3,0,04
2015,100.0,Other services relating to the dwelling n.e.c.,04.4.4,0,04
2015,100.0,"Electricity, gas and other fuels",04.5,0,04
2015,100.0,Electricity,04.5.1,0,04
2015,100.0,Gas,04.5.2,0,04
2015,100.0,Liquid fuels,04.5.3,0,04
2015,100.0,Solid fuels,04.5.4,0,04
2015,100.0,"Furnishings, household equipment and routine household maintenance",05,1,00
2015,100.0,"Furniture and furnishings, carpets and other floor coverings",05.1,0,05
2015,100.0,Furniture and furnishings,05.1.1,0,05
2015,100.0,Carpets and other floor coverings,05.1.2,0,05
2015,100.0,Household textiles,05.2,0,05
2015,100.0,Household appliances,05.3,0,05
2015,100.0,Major household appliances whether electric or not and small electric household appliances,05.3.1_2,0,05
2015,100.0,Repair of household appliances,05.3.3,0,05
2015,100.0,"Glassware, tableware and household utensils",05.4,0,05
2015,100.0,Tools and equipment for house and garden,05.5,0,05
2015,100.0,Goods and services for routine household maintenance,05.6,0,05
2015,100.0,Non-durable household goods,05.6.1,0,05
2015,100.0,Domestic services and household services,05.6.2,0,05
2015,100.0,Health,06,1,00
2015,100.0,"Medical products, appliances and equipment",06.1,0,06
2015,100.0,Pharmaceutical products,06.1.1,0,06
2015,100.0,"Other medical products, therapeutic appliances and equipment",06.1.2_3,0,06
2015,100.0,Out-patient services,06.2,0,06
2015,100.0,Medical services and paramedical services,06.2.1_3,0,06
2015,100.0,Dental services,06.2.2,0,06
2015,100.0,Hospital services,06.3,0,06
2015,100.0,Transport,07,1,00
2015,100.0,Purchase of vehicles,07.1,0,07
2015,100.0,Motor cars,07.1.1,0,07
2015,100.0,"Motor cycles, bicycles and animal drawn vehicles",07.1.2_3_4,0,07
2015,100.0,Operation of personal transport equipment,07.2,0,07
2015,100.0,Spare parts and accessories for personal transport equipment,07.2.1,0,07
2015,100.0,Fuels and lubricants for personal transport equipment,07.2.2,0,07
2015,100.0,Maintenance and repair of personal transport equipment,07.2.3,0,07
2015,100.0,Other services in respect of personal transport equipment,07.2.4,0,07
2015,100.0,Transport services,07.3,0,07
2015,100.0,Passenger transport by railway,07.3.1,0,07
2015,100.0,Passenger transport by road,07.3.2,0,07
2015,100.0,Passenger transport by air,07.3.3,0,07
2015,100.0,Passenger transport by sea and inland waterway,07.3.4,0,07
2015,100.0,Combined passenger transport,07.3.5,0,07
2015,100.0,Other purchased transport services,07.3.6,0,07
2015,100.0,Communications,08,1,00
2015,100.0,Postal services,08.1,0,08
2015,100.0,Telephone and telefax equipment and services,08.2_3,0,08
2015,100.0,Recreation and culture,09,1,00
2015,100.0,"Audio-visual, photographic and information processing equipment",09.1,0,09
2015,100.0,"Equipment for the reception, recording and reproduction of sound and picture",09.1.1,0,09
2015,100.0,Information processing equipment,09.1.3,0,09
2015,100.0,Recording media,09.1.4,0,09
2015,100.0,"Repair of audio-visual, photographic and information processing equipment",09.1.5,0,09
2015,100.0,Other major durables for recreation and culture,09.2,0,09
2015,100.0,Major durables for indoor and outdoor recreation including musical instruments,09.2.1_2,0,09
2015,100.0,"Other recreational items and equipment, gardens and pets",09.3,0,09
2015,100.0,"Games, toys and hobbies",09.3.1,0,09
2015,100.0,"Equipment for sport, camping and open-air recreation",09.3.2,0,09
2015,100.0,"Gardens, plants and flowers",09.3.3,0,09
2015,100.0,Pets and related products; veterinary and other services for pets,09.3.4_5,0,09
2015,100.0,Recreational and cultural services,09.4,0,09
2015,100.0,Recreational and sporting services,09.4.1,0,09
2015,100.0,Cultural services,09.4.2,0,09
2015,100.0,"Newspapers, books and stationery",09.5,0,09
2015,100.0,Books,09.5.1,0,09
2015,100.0,Newspapers and periodicals,09.5.2,0,09
2015,100.0,Miscellaneous printed matter; stationery and drawing materials,09.5.3_4,0,09
2015,100.0,Package holidays,09.6,0,09
2015,100.0,Education,10,1,00
2015,100.0,Restaurants and hotels,11,1,00
2015,100.0,Catering services,11.1,0,11
2015,100.0,"Restaurants, cafes and the like",11.1.1,0,11
2015,100.0,Canteens,11.1.2,0,11
2015,100.0,Accommodation services,11.2,0,11
2015,100.0,Miscellaneous goods and services,12,1,00
2015,100.0,Personal care,12.1,0,12
2015,100.0,Hairdressing salons and personal grooming establishments,12.1.1,0,12
2015,100.0,"Electrical appliances for personal care; other appliances, articles and products for personal care",12.1.2_3,0,12
2015,100.0,Personal effects n.e.c.,12.3,0,12
2015,100.0,"Jewellery, clocks and watches",12.3.1,0,12
2015,100.0,Other personal effects,12.3.2,0,12
2015,100.0,Social protection,12.4,0,12
2015,100.0,Insurance,12.5,0,12
2015,100.0,Insurance connected with the dwelling,12.5.2,0,12
2015,100.0,Insurance connected with health,12.5.3,0,12
2015,100.0,Insurance connected with transport,12.5.4,0,12
2015,100.0,Financial services n.e.c.,12.6,0,12
2015,100.0,Other services n.e.c.,12.7,0,12
2016,99.8,All-items HICP,00,1,00
2016,98.7,Food and non-alcoholic beverages,01,1,00
2016,98.6,Food,01.1,0,01
2016,97.9,Bread and cereals,01.1.1,0,01
2016,97.5,Meat,01.1.2,0,01
2016,100.0,Fish and seafood,01.1.3,0,01
2016,98.1,"Milk, cheese and eggs",01.1.4,0,01
2016,100.2,Oils and fats,01.1.5,0,01
2016,100.1,Fruit,01.1.6,0,01
2016,101.5,Vegetables,01.1.7,0,01
2016,97.3,"Sugar, jam, honey, chocolate and confectionery",01.1.8,0,01
2016,99.2,Food products n.e.c.,01.1.9,0,01
2016,99.1,Non-alcoholic beverages,01.2,0,01
2016,98.2,"Coffee, tea and cocoa",01.2.1,0,01
2016,99.3,"Mineral waters, soft drinks, fruit and vegetable juices",01.2.2,0,01
2016,101.5,"Alcoholic beverages, tobacco and narcotics",02,1,00
2016,97.1,Alcoholic beverages,02.1,0,02
2016,99.8,Spirits,02.1.1,0,02
2016,95.7,Wine,02.1.2,0,02
2016,97.9,Beer,02.1.3,0,02
2016,106.8,Tobacco,02.2,0,02
2016,97.5,Clothing and footwear,03,1,00
2016,97.6,Clothing,03.1,0,03
2016,97.5,Garments,03.1.2,0,03
2016,98.6,Other articles of clothing and clothing accessories,03.1.3,0,03
2016,101.0,"Cleaning, repair and hire of clothing",03.1.4,0,03
2016,97.4,Footwear,03.2,0,03
2016,101.5,"Housing, water, electricity, gas and other fuels",04,1,00
2016,108.7,Actual rentals for housing,04.1,0,04
2016,100.2,Maintenance and repair of the dwelling,04.3,0,04
2016,97.9,Materials for the maintenance and repair of the dwelling,04.3.1,0,04
2016,101.6,Services for the maintenance and repair of the dwelling,04.3.2,0,04
2016,85.5,Water supply and miscellaneous services relating to the dwelling,04.4,0,04
2016,50.0,Water supply,04.4.1,0,04
2016,101.1,Refuse collection,04.4.2,0,04
2016,50.0,Sewerage collection,04.4.3,0,04
2016,101.0,Other services relating to the dwelling n.e.c.,04.4.4,0,04
2016,94.9,"Electricity, gas and other fuels",04.5,0,04
2016,96.4,Electricity,04.5.1,0,04
2016,97.0,Gas,04.5.2,0,04
2016,85.8,Liquid fuels,04.5.3,0,04
2016,99.6,Solid fuels,04.5.4,0,04
2016,96.8,"Furnishings, household equipment and routine household maintenance",05,1,00
2016,93.5,"Furniture and furnishings, carpets and other floor coverings",05.1,0,05
2016,93.5,Furniture and furnishings,05.1.1,0,05
