"Statistic Label","Year","Commodity Group","UNIT","VALUE"
"Harmonised Index of Consumer Prices","2015","All-items HICP (COICOP 00)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Clothing and footwear (COICOP 03)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Health (COICOP 06)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Transport (COICOP 07)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Communications (COICOP 08)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Recreation and culture (COICOP 09)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Education (COICOP 10)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Restaurants and hotels (COICOP 11)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Miscellaneous goods and services (COICOP 12)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2016","All-items HICP (COICOP 00)","Base 2015=100","99.8"
"Harmonised Index of Consumer Prices","2016","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","98.7"
"Harmonised Index of Consumer Prices","2016","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","101.5"
"Harmonised Index of Consumer Prices","2016","Clothing and footwear (COICOP 03)","Base 2015=100","97.5"
"Harmonised Index of Consumer Prices","2016","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","101.5"
"Harmonised Index of Consumer Prices","2016","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","96.8"
"Harmonised Index of Consumer Prices","2016","Health (COICOP 06)","Base 2015=100","100.7"
"Harmonised Index of Consumer Prices","2016","Transport (COICOP 07)","Base 2015=100","96.5"
"Harmonised Index of Consumer Prices","2016","Communications (COICOP 08)","Base 2015=100","98.8"
"Harmonised Index of Consumer Prices","2016","Recreation and culture (COICOP 09)","Base 2015=100","98.9"
"Harmonised Index of Consumer Prices","2016","Education (COICOP 10)","Base 2015=100","103.3"
"Harmonised Index of Consumer Prices","2016","Restaurants and hotels (COICOP 11)","Base 2015=100","102"
"Harmonised Index of Consumer Prices","2016","Miscellaneous goods and services (COICOP 12)","Base 2015=100","100.5"
"Harmonised Index of Consumer Prices","2017","All-items HICP (COICOP 00)","Base 2015=100","100.1"
"Harmonised Index of Consumer Prices","2017","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","96.6"
"Harmonised Index of Consumer Prices","2017","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","102.2"
"Harmonised Index of Consumer Prices","2017","Clothing and footwear (COICOP 03)","Base 2015=100","93.4"
"Harmonised Index of Consumer Prices","2017","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","104.5"
"Harmonised Index of Consumer Prices","2017","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","92.7"
"Harmonised Index of Consumer Prices","2017","Health (COICOP 06)","Base 2015=100","101.6"
"Harmonised Index of Consumer Prices","2017","Transport (COICOP 07)","Base 2015=100","98.6"
