"Statistic Label","Year","Commodity Group","UNIT","VALUE"
"Harmonised Index of Consumer Prices","2015","All-items HICP (COICOP 00)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Food (COICOP 01.1)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Bread and cereals (COICOP 01.1.1)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Meat (COICOP 01.1.2)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Fish and seafood (COICOP 01.1.3)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Milk, cheese and eggs (COICOP 01.1.4)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Oils and fats (COICOP 01.1.5)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Fruit (COICOP 01.1.6)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Vegetables (COICOP 01.1.7)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Sugar, jam, honey, chocolate and confectionery (COICOP 01.1.8)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Food products n.e.c. (COICOP 01.1.9)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Non-alcoholic beverages (COICOP 01.2)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Coffee, tea and cocoa (COICOP 01.2.1)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Mineral waters, soft drinks, fruit and vegetable juices (COICOP 01.2.2)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Alcoholic beverages (COICOP 02.1)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Spirits (COICOP 02.1.1)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Wine (COICOP 02.1.2)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Beer (COICOP 02.1.3)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Tobacco (COICOP 02.2)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Clothing and footwear (COICOP 03)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Clothing (COICOP 03.1)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Clothing materials (COICOP 03.1.1)","Base 2015=100",""
"Harmonised Index of Consumer Prices","2015","Garments (COICOP 03.1.2)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Other articles of clothing and clothing accessories (COICOP 03.1.3)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Cleaning, repair and hire of clothing (COICOP 03.1.4)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Footwear (COICOP 03.2)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Actual rentals for housing (COICOP 04.1)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Maintenance and repair of the dwelling (COICOP 04.3)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Materials for the maintenance and repair of the dwelling (COICOP 04.3.1)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Services for the maintenance and repair of the dwelling (COICOP 04.3.2)","Base 2015=100","100"
